chebi_id	children_count	depth[,]
CHEBI:34110	0	11, 12, 13, 14, 15
CHEBI:59750	0	8, 9, 10, 11, 12, 13, 14
CHEBI:34112	0	11, 12, 13, 14, 15
CHEBI:59751	1	7, 9
CHEBI:59753	0	8
CHEBI:59754	1	10, 11, 12, 13, 14, 15
CHEBI:43876	0	10, 11, 12, 13
CHEBI:59744	0	6, 7, 8
CHEBI:59747	0	10, 11, 12
CHEBI:59746	0	10, 11, 12
CHEBI:46599	0	9, 10, 11, 12
CHEBI:59749	3	6, 8
CHEBI:34104	0	12
CHEBI:59748	0	7, 9
CHEBI:43871	0	7, 8, 9, 10, 11, 12, 13, 15
CHEBI:43892	0	12, 14
CHEBI:59742	0	11
CHEBI:59743	1	6, 7
CHEBI:46597	0	9, 10, 11, 12, 13, 14
CHEBI:59741	1	10
CHEBI:4884	0	9, 10, 12
CHEBI:4883	0	8, 9
CHEBI:4882	0	7, 8, 9, 10, 11
CHEBI:4888	2	10, 11, 12, 13, 14
CHEBI:4887	2	8, 9, 10, 11
CHEBI:4885	0	8, 9, 10
CHEBI:13332	0	17, 19, 18, 21, 20, 15
CHEBI:41500	0	9, 10, 11, 12
CHEBI:41501	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:59736	0	10, 11, 13
CHEBI:59735	0	9, 10
CHEBI:59734	1	9, 10, 12
CHEBI:34118	2	9, 10, 11
CHEBI:59733	0	6
CHEBI:41509	0	11, 12, 13
CHEBI:34116	0	9
CHEBI:43885	0	9, 10, 11, 12, 13, 14
CHEBI:34117	0	9
CHEBI:59738	0	9, 10, 11, 12
CHEBI:34115	0	10
CHEBI:59737	127	6, 8, 9, 10
CHEBI:59730	0	9, 10, 11
CHEBI:59731	0	7, 8, 10
CHEBI:59732	0	10, 11, 13
CHEBI:34130	0	17, 16, 8, 9, 10, 11, 12, 13, 14, 15
CHEBI:4878	0	9, 10
CHEBI:46581	0	9, 10, 11, 12
CHEBI:4877	0	9, 10, 11
CHEBI:4876	0	7, 8, 9
CHEBI:4873	0	9, 10, 11
CHEBI:34126	0	16, 9, 10, 11, 12, 13, 14, 15
CHEBI:59726	0	7
CHEBI:34127	0	9, 10, 11, 12
CHEBI:59729	1	8, 9, 10
CHEBI:59728	0	6
CHEBI:59723	0	9, 11
CHEBI:59722	1	8, 10
CHEBI:59725	0	9, 10
CHEBI:59724	12	6, 8, 9, 10
CHEBI:46573	0	10, 11, 12, 13, 14
CHEBI:59720	3	7, 8, 10
CHEBI:59721	2	5
CHEBI:46574	0	17, 16, 10, 11, 12, 13, 14, 15
CHEBI:46576	0	9, 10, 11
CHEBI:34146	0	17, 16, 9, 10, 11, 12, 13, 14, 15
CHEBI:34145	0	9, 10, 11, 12
CHEBI:46570	0	12, 13, 14
CHEBI:4868	0	9, 10, 11, 12
CHEBI:34144	0	17, 16, 10, 11, 12, 13, 14, 15
CHEBI:4866	0	9, 10, 11
CHEBI:43869	0	17, 16, 9, 10, 11, 12, 14, 15
CHEBI:59719	0	7, 8, 9, 10, 12
CHEBI:59718	2	11, 13
CHEBI:43863	0	8, 9, 10, 12
CHEBI:59717	1	12, 14
CHEBI:59716	0	7
CHEBI:59715	0	7, 8
CHEBI:59714	0	9, 10, 11, 12, 13
CHEBI:59713	2	6
CHEBI:59712	0	6, 7, 8, 9, 10
CHEBI:43865	0	8, 9, 10, 11, 12
CHEBI:59711	0	5, 8
CHEBI:43864	0	8, 9, 10, 11, 12, 13, 14
CHEBI:59790	0	9, 10
CHEBI:59792	7	7, 9
CHEBI:59791	0	7, 8, 10
CHEBI:59794	1	8, 10
CHEBI:59793	4	8, 10
CHEBI:59795	5	7, 9
