2918	bensulfoid	1940-09-17
5490	lynoral	1944-04-13
6412	decapryn	1948-04-07
21380	xylocaine dental	1948-11-19
21381	xylocaine dental with epinephrine	1948-11-19
7012	vi-twel	1949-09-15
7320	teebacin	1950-03-08
9276	hiwolfia	1954-01-28
9452	multifuge	1954-07-12
9395	paskalium	1955-11-18
10554	magnacort	1956-10-15
10686	moderil	1956-10-31
11073	wampocap	1957-07-24
10791	rubivite	1958-07-14
12265	naqua	1960-03-09
12265	naquival	1960-03-09
12283	hygroton	1960-04-07
60307	penicillin	1964-05-27
60307	penicillin-2	1964-05-27
14006	maxibolin	1965-01-07
101995	santyl	1965-06-04
21383	citanest forte dental	1965-11-18
21382	citanest plain dental	1965-11-18
60851	mychel	1967-06-20
61016	terra-cortril	1969-09-18
50219	kafocin	1970-06-12
80017	furalan	1970-09-30
80098	potassium aminosalicylate	1971-04-14
80097	sodium aminosalicylate	1971-04-14
80366	soxazole	1971-06-07
80380	bamate	1971-07-29
80126	stanozide	1972-01-21
17042	fluorine f-18	1972-02-24
16844	darvocet	1972-10-18
80036	sosol	1973-02-09
83380	aristogel	1973-04-30
83544	kesso-gesic	1973-06-06
61741	probampacin	1973-10-10
50262	declomycin	1974-02-28
84088	veltane	1974-05-17
17269	chlormerodrin hg 197	1974-06-03
17411	hexa-germ	1974-09-18
61866	anspor	1974-10-15
61888	bristacycline	1974-12-05
61889	tetrex	1974-12-05
61887	bristamycin	1974-12-05
84219	kwell	1975-01-22
50404	aureomycin	1975-05-13
17036	sodium heparin	1975-06-23
84188	myotonachol	1975-09-24
12708	diutensen-r	1975-09-30
83564	delcobese	1975-10-24
84655	prednicen-m	1975-12-09
17838	lungaggregate reagent	1976-02-23
17255	mpi dtpa kit - chelate	1976-04-15
17756	tylenol	1976-05-26
84977	halothane	1976-07-14
84617	dralserp	1976-08-13
21384	duranest	1976-08-30
84535	benzyl benzoate	1976-09-02
83206	benzthiazide	1976-11-19
85492	acetic acid w/ hydrocortisone	1977-05-10
85552	proben-c	1977-09-15
16704	resectisol	1977-09-22
13093	sulfabid	1977-10-07
8975	purified cortrophin gel	1977-12-08
85985	dimenhydrinate	1977-12-19
17506	isopaque 280	1978-02-01
10942	sparine	1978-02-24
6270	gamophen	1978-04-27
10255	meticortelone	1978-05-01
17413	scrubteam surgical spongebrush	1978-05-04
85639	codeine, aspirin, apap formula no. 3	1978-05-10
85640	codeine, aspirin, apap formula no. 2	1978-05-10
85638	codeine, aspirin, apap formula no. 4	1978-05-10
85550	butabarbital	1978-05-31
85937	pentobarbital sodium	1978-06-09
83827	pramine	1978-06-19
85881	sodium butabarbital	1978-07-20
80123	lantrisul	1978-08-24
85880	butalan	1978-08-30
9987	delta-cortef	1978-09-25
10927	phosphotope	1978-10-11
16401	neopap	1978-10-16
86454	amitid	1978-10-19
16847	isopaque 440	1979-02-15
17787	radionuclide-labeled (125 i) fibrinogen (human) sensor	1979-03-07
86310	equipin	1979-04-11
6920	triple sulfas	1979-04-17
16119	teslac	1979-04-27
6931	syncurine	1979-06-26
17454	osteoscan	1980-01-09
17653	cintichem technetium 99m hedspa	1980-02-02
11208	depinar	1980-02-22
86130	probenecid and colchicine	1980-03-18
8955	clistin	1980-04-01
17861	acthar gel-synthetic	1980-04-16
17412	germa-medica	1980-04-24
17412	germa-medica "mg"	1980-04-24
10653	disipal	1980-04-28
10962	paracort	1980-05-06
734	histamine phosphate	1980-08-13
16053	betapar	1980-10-01
50092	pathocil	1980-10-22
86983	azulfidine	1980-12-29
8114	prantal	1980-12-30
9436	acylanid	1981-01-06
16000	sulla	1981-01-16
16149	taractan	1981-01-29
83900	benzedrine	1981-02-11
87417	alkergot	1981-03-09
86516	ona-mast	1981-04-03
86440	diphenoxylate hydrochloride w/ atropine sulfate	1981-04-06
84827	hydro-serp "25"	1981-04-16
85213	hydro-serp "50"	1981-04-16
17848	tc 99m-lungaggregate	1981-05-06
14217	maolate	1981-05-15
17669	tenuate	1981-05-18
12928	novrad	1981-06-09
13615	quide	1981-06-19
87081	nitrofurazone	1981-07-22
87438	folicet	1981-07-30
8682	thytropar	1981-08-04
84902	promethacon	1981-10-05
62324	kanamycin	1981-11-05
6012	folvron	1981-12-14
18551	potassium iodide	1982-02-19
17698	sterile urea	1982-03-08
12102	medihaler ergotamine	1982-03-10
50556	spectrobid	1982-03-23
10418	xylocaine w/ epinephrine	1982-03-25
17045	renotec	1982-03-26
12421	medrol acetate	1982-04-02
50238	neo-cort-dome	1982-04-06
12402	ivadantin	1982-04-13
16732	talwin 50	1982-04-19
86917	probenecid	1982-06-09
16224	robengatope	1982-06-11
50509	cyclapen-w	1982-07-08
87014	orgatrax	1982-07-23
86750	wigrettes	1982-07-29
85338	h.r.-50	1982-08-04
50320	unipen in plastic container	1982-08-12
17844	radioiodinated serum albumin (human) ihsa i 125	1982-08-13
11748	oxylone	1982-08-20
50339	albamycin	1982-08-24
50202	chloromycetin hydrocortisone	1982-09-28
85231	pyrilamine maleate	1982-10-29
18102	medrol	1982-11-19
12259	alphadrol	1982-12-07
10598	bendectin	1982-12-09
18774	nitrol	1983-01-19
87459	synacort	1983-02-17
17992	crescormon	1983-02-28
80516	sodium succinate	1983-03-08
16090	rubratope-60	1983-03-11
16090	rubratope-60 kit	1983-03-11
86046	anisotropine methylbromide	1983-04-14
17047	sethotope	1983-04-20
86954	probenecid w/ colchicine	1983-05-10
88087	kainair	1983-06-07
10093	biphetamine 20	1983-06-16
10093	biphetamine 12.5	1983-06-16
10093	biphetamine 7.5	1983-06-16
18536	xenon xe 127	1983-06-21
18839	betaderm	1983-06-30
10012	sandril	1983-07-20
84876	hydrap-es	1983-07-26
84553	compound 65	1983-08-17
84729	lidocaton	1983-08-17
7707	phenurone	1983-09-07
87709	reserpine, hydrochlorothiazide, and hydralazine hydrochloride	1983-09-07
17813	librelease	1983-09-12
18173	fluidil	1983-09-13
6905	norisodrine	1983-10-29
87487	melfiat-105	1983-11-02
17832	instant microspheres	1983-11-02
17434	prostin f2 alpha	1983-12-05
86333	vicoprin	1983-12-14
80024	sulfacel-15	1984-01-03
6170	hyprotigen 5%	1984-01-10
88318	triprolidine and pseudoephedrine	1984-01-13
85518	a-poxide	1984-01-25
87681	paracaine	1984-01-26
10796	harmonyl	1984-03-05
88200	reserpine and hydrochlorothiazide	1984-05-01
86535	acticort	1984-05-22
16729	ferrous citrate fe 59	1984-05-24
5897	folvite	1984-09-10
11836	presamine	1984-10-30
17726	asellacrin 2	1984-12-20
17726	asellacrin 10	1984-12-20
13087	dimetapp	1984-12-28
4054	sulfadiazine sodium	1985-01-14
11620	cardiografin	1985-01-28
17316	sodium iodide i 131	1985-03-05
17518	ytterbium yb 169 dtpa	1985-03-05
18000	bricanyl	1985-03-19
12542	tandearil	1985-03-25
18678	branchamin 4%	1985-04-26
17995	dextrose 60%	1985-05-16
80224	sorbitol-mannitol	1985-05-20
85108	lygen	1985-05-22
16080	mannitol 5% w/ dextrose 5% in sodium chloride 0.12%	1985-05-24
16080	mannitol 15% w/ dextrose 5% in sodium chloride 0.45%	1985-05-24
16080	mannitol 10% w/ dextrose 5% in distilled water	1985-05-24
18833	lithane	1985-07-18
50593	eryc sprinkles	1985-07-22
80857	diphenylan sodium	1985-09-09
87936	isoproterenol hydrochloride	1985-09-10
9190	ethiodol	1985-09-10
17339	minitec	1985-09-30
15419	hipputope	1985-09-30
4589	alcohol 10% and dextrose 5%	1985-10-11
4589	alcohol 5% and dextrose 5%	1985-10-11
18058	gallium citrate ga 67	1985-11-22
88081	quinalan	1986-02-10
84095	nembutal sodium	1986-03-10
6044	diasone sodium	1986-03-17
88193	pseudoephedrine hydrochloride and triprolidine hydrochloride	1986-04-24
17056	follutein	1986-05-05
